r,g,b,color
64,0,93,purple
26,135,0,green
84,0,171,purple
177,0,205,purple
29,8,0,brown
10,95,0,green
72,0,138,purple
154,0,4,red
139,166,0,green
0,171,49,green
74,0,74,purple
93,159,0,green
85,0,115,purple
172,3,0,red
0,188,195,blue
0,131,52,green
66,120,0,green
0,176,38,green
0,54,148,blue
140,99,0,brown
0,99,22,green
98,119,0,green
0,123,213,blue
240,11,0,red
0,134,71,green
0,237,85,green
0,221,87,green
232,0,18,red
34,163,0,green
147,0,192,purple
10,0,166,blue
215,133,0,orange
231,97,0,orange
236,0,201,pink
176,0,7,red
0,84,22,green
0,42,59,blue
220,0,73,pink
84,0,159,purple
239,52,0,orange
236,0,210,pink
0,170,105,green
0,15,245,blue
78,0,110,purple
114,0,196,purple
0,18,84,blue
0,33,163,blue
100,0,133,purple
173,26,0,red
113,151,0,green
35,0,247,blue
161,0,6,red
225,0,28,red
127,215,0,green
114,0,235,purple
221,0,59,red
0,237,34,green
0,137,179,blue
188,179,0,yellow
0,253,153,green
0,64,200,blue
95,0,170,purple
249,0,125,pink
186,0,89,pink
207,45,0,red
182,0,224,purple
127,0,125,purple
161,13,0,red
14,0,223,blue
72,244,0,green
213,190,0,yellow
67,135,0,green
135,235,0,green
95,0,65,purple
172,0,85,pink
239,0,210,pink
105,0,122,purple
180,118,0,orange
92,104,0,green
0,217,91,green
201,22,0,red
0,67,7,green
0,80,16,green
0,23,192,blue
0,150,241,blue
144,203,0,green
19,21,0,black
184,0,26,red
0,155,180,blue
138,0,33,red
136,85,0,brown
0,224,34,green
72,0,95,purple
0,116,37,green
0,1,133,blue
0,143,225,blue
28,0,142,blue
172,0,124,purple
140,59,0,brown
227,0,7,red
0,36,88,blue
0,137,94,green
209,0,193,pink
133,0,254,purple
0,15,185,blue
156,193,0,green
0,221,8,green
0,250,31,green
111,200,0,green
199,0,145,pink
119,57,0,brown
246,0,50,red
62,0,38,purple
0,175,12,green
245,0,22,red
230,86,0,orange
0,124,9,green
244,0,189,pink
189,0,17,red
0,79,245,blue
59,106,0,green
110,0,228,purple
0,176,183,blue
175,94,0,orange
0,21,180,blue
178,31,0,red
172,36,0,red
203,0,94,pink
206,128,0,orange
163,115,0,brown
0,74,130,blue
116,0,78,purple
0,189,64,green
63,0,98,purple
98,0,233,purple
217,0,51,red
118,0,172,purple
0,128,83,green
33,176,0,green
184,0,145,pink
215,161,0,yellow
0,231,58,green
151,0,1,red
32,0,253,blue
114,0,198,purple
0,91,44,green
0,81,170,blue
105,160,0,green
113,0,202,purple
233,165,0,orange
162,0,198,purple
0,76,99,blue
0,80,110,blue
0,117,12,green
0,87,28,green
185,0,125,pink
46,0,58,purple
214,0,246,purple
13,0,17,black
24,92,0,green
0,66,137,blue
0,28,82,blue
186,13,0,red
228,66,0,orange
0,88,66,green
34,0,43,purple
156,0,195,purple
235,105,0,orange
217,92,0,orange
0,63,75,blue
0,224,10,green
230,195,0,yellow
151,0,170,purple
117,0,222,purple
0,54,118,blue
156,0,247,purple
0,23,245,blue
142,139,0,green
59,184,0,green
175,0,113,pink
241,55,0,orange
0,214,132,green
215,0,174,pink
62,0,50,purple
83,177,0,green
187,108,0,orange
122,0,209,purple
0,177,48,green
86,0,121,purple
63,39,0,brown
70,0,125,purple
193,48,0,red
130,0,113,purple
0,83,125,blue
59,235,0,green
181,119,0,orange
135,0,155,purple
105,3,0,red
198,0,16,red
0,18,111,blue
0,122,220,blue
211,86,0,orange
214,134,0,orange
0,220,89,green
231,0,37,red
83,115,0,green
107,0,130,purple
27,0,56,purple
30,0,13,black
168,0,68,pink
144,166,0,green
153,0,182,purple
191,0,22,red
0,205,70,green
0,25,240,blue
0,190,67,green
230,0,16,red
0,15,207,blue
3,203,0,green
26,183,0,green
113,0,214,purple
166,220,0,green
105,20,0,red
13,246,0,green
219,25,0,red
175,15,0,red
0,149,45,green
179,0,92,pink
7,0,150,blue
0,44,111,blue
69,0,255,blue
189,94,0,orange
132,208,0,green
153,0,204,purple
52,100,0,green
174,0,113,pink
116,0,245,purple
0,136,161,blue
0,34,242,blue
15,0,11,black
102,54,0,brown
0,146,81,green
135,0,85,purple
113,139,0,green
0,247,39,green
202,0,89,pink
127,0,70,purple
165,219,0,green
3,186,0,green
230,71,0,orange
0,73,150,blue
46,169,0,green
217,0,186,pink
208,0,186,pink
0,57,135,blue
87,129,0,green
0,35,182,blue
250,177,0,yellow
231,149,0,orange
228,0,45,red
0,145,35,green
100,0,6,red
207,80,0,orange
227,202,0,yellow
114,66,0,brown
41,0,39,purple
198,151,0,orange
192,5,0,red
215,0,219,pink
226,158,0,orange
137,0,74,purple
5,0,102,blue
191,0,79,pink
247,193,0,yellow
172,17,0,red
10,0,207,blue
103,35,0,brown
0,214,90,green
43,189,0,green
12,1,0,black
0,136,227,blue
72,225,0,green
0,130,85,green
109,0,57,purple
0,133,181,blue
118,0,176,purple
206,0,159,pink
203,24,0,red
0,121,232,blue
170,87,0,brown
201,159,0,yellow
143,31,0,red
0,188,72,green
209,0,49,red
214,0,214,pink
0,92,207,blue
177,213,0,yellow
249,144,0,orange
29,160,0,green
0,143,217,blue
0,19,130,blue
191,192,0,yellow
229,0,117,pink
28,0,188,blue
182,22,0,red
52,106,0,green
153,0,145,purple
162,0,37,red
244,169,0,orange
201,163,0,yellow
0,214,135,green
0,147,86,green
51,218,0,green
157,0,12,red
193,0,192,purple
72,147,0,green
219,0,120,pink
0,150,240,blue
180,0,114,pink
196,0,31,red
39,205,0,green
233,0,13,red
0,166,177,blue
114,0,131,purple
79,0,246,blue
49,0,169,blue
73,0,63,purple
209,184,0,yellow
199,0,22,red
0,239,108,green
86,0,164,purple
0,71,186,blue
207,0,109,pink
94,0,164,purple
47,0,127,blue
117,0,145,purple
0,163,58,green
134,132,0,green
210,0,49,red
19,0,228,blue
0,134,228,blue
0,126,85,green
248,63,0,orange
148,0,127,purple
0,157,58,green
87,125,0,green
0,132,7,green
112,0,103,purple
0,198,44,green
231,245,0,yellow
115,12,0,red
124,0,8,red
165,0,117,purple
221,175,0,yellow
0,101,158,blue
187,223,0,yellow
28,0,143,blue
243,76,0,orange
238,135,0,orange
46,0,160,blue
0,222,110,green
253,0,142,pink
36,27,0,brown
130,0,131,purple
98,149,0,green
61,161,0,green
236,208,0,yellow
201,165,0,yellow
188,0,54,red
170,223,0,green
85,235,0,green
0,231,3,green
210,71,0,orange
0,114,35,green
0,34,46,blue
23,0,92,blue
127,187,0,green
237,0,172,pink
167,38,0,red
0,217,44,green
211,241,0,yellow
219,0,36,red
0,92,195,blue
187,197,0,yellow
207,245,0,yellow
138,0,140,purple
96,0,117,purple
0,177,58,green
10,139,0,green
140,45,0,brown
148,205,0,green
50,0,211,blue
0,171,7,green
0,36,116,blue
0,79,178,blue
0,56,49,green
40,0,120,blue
0,80,95,blue
171,0,193,purple
158,212,0,green
0,86,162,blue
0,121,142,blue
21,0,205,blue
243,0,240,pink
0,128,168,blue
151,0,16,red
255,127,0,orange
0,130,254,blue
22,79,0,green
157,0,53,red
0,79,130,blue
169,36,0,red
129,0,149,purple
210,0,86,pink
209,0,74,pink
0,127,228,blue
23,145,0,green
55,93,0,green
205,126,0,orange
9,5,0,black
237,235,0,yellow
156,0,21,red
252,0,66,pink
0,219,68,green
178,23,0,red
16,129,0,green
0,240,66,green
28,9,0,brown
0,205,77,green
51,0,40,purple
81,0,85,purple
32,0,134,blue
144,0,13,red
0,156,189,blue
30,0,48,purple
33,0,134,blue
232,0,227,pink
201,0,162,pink
119,221,0,green
0,42,125,blue
0,49,168,blue
207,76,0,orange
64,134,0,green
166,0,12,red
0,63,138,blue
0,23,189,blue
158,0,236,purple
0,27,209,blue
167,100,0,brown
186,0,19,red
216,0,235,purple
48,0,160,blue
252,148,0,orange
97,0,67,purple
90,0,226,blue
137,0,251,purple
119,236,0,green
145,0,208,purple
112,0,133,purple
0,255,150,green
96,211,0,green
131,0,196,purple
189,0,200,purple
184,131,0,orange
0,243,48,green
182,0,249,purple
162,46,0,red
49,250,0,green
234,0,198,pink
223,0,10,red
177,0,230,purple
39,56,0,green
76,0,126,purple
66,0,163,purple
215,184,0,yellow
0,107,211,blue
174,0,61,red
0,231,156,green
188,111,0,orange
133,201,0,green
117,0,233,purple
15,142,0,green
56,0,59,purple
0,33,166,blue
92,0,235,blue
0,152,209,blue
52,178,0,green
54,212,0,green
94,169,0,green
16,156,0,green
0,95,0,green
0,149,245,blue
